,body
0,0.06315192743764173
1,0.12410714285714286
2,0.23928571428571432
3,0.07947781385281384
4,0.04999999999999997
5,0.30680272108843537
6,0.09226682408500589
7,0.3016741071428572
8,-0.1736111111111111
9,0.2520408163265306
0,0.425
1,0.04873097332774751
2,0.51875
3,-0.015383426097711825
4,0.3333333333333333
5,0.1125
6,0.06666666666666667
7,-0.13125
8,0.2111111111111111
9,0.11435185185185187
0,0.04257575757575758
1,0.02916666666666667
2,0.10027472527472528
3,-0.2916666666666667
4,0.1013888888888889
5,-0.11666666666666667
6,0.125
7,-0.04722222222222222
8,0.0928030303030303
9,0.0
0,0.25
1,0.11769972451790633
2,0.15625
3,0.2
4,0.11666666666666665
5,-0.10833333333333332
6,0.125
7,0.3166666666666667
8,0.40238095238095234
9,0.475
0,0.3051020408163265
1,0.475
2,0.11919642857142856
3,-0.0023809523809523725
4,-0.033333333333333354
5,-0.04924242424242424
6,0.0
7,-0.11500000000000002
8,0.4375
9,0.5285714285714286
0,-0.08333333333333333
1,0.7
2,0.175
3,0.19999999999999998
4,0.4
5,0.0
6,0.5
7,0.45
8,0.10555555555555556
9,0.09375
0,-0.027777777777777752
1,0.07393939393939394
2,0.31309523809523804
3,0.4444444444444444
4,0.7083333333333334
5,0.4166666666666667
6,0.0
7,0.004572510822510807
8,0.0
9,-0.16666666666666666
0,0.15000000000000002
1,0.5
2,0.5
3,0.45
4,0.25
5,0.8
6,0.45
7,0.16666666666666669
8,1.0
9,0.4166666666666667
0,0.325
1,0.5
2,0.7
3,0.0
4,0.0
5,0.44999999999999996
6,-0.4
7,0.0
8,0.012121212121212116
9,0.0
0,0.2752232142857143
1,0.0
2,0.6
3,0.0
4,0.55
5,0.24375000000000002
6,0.9
7,0.31333333333333335
8,0.0
9,0.7
0,0.0
1,0.0
2,0.5
3,0.0
4,0.54
5,1.0
6,0.7
7,0.0
8,0.26666666666666666
9,0.0
0,0.0
1,0.0
2,0.11666666666666665
3,0.0
4,1.0
5,0.0
6,0.43333333333333335
7,0.8
8,0.4000000000000001
9,1.0
0,0.7
1,1.0
2,0.0
3,0.0
4,0.16
5,0.7
6,0.16108193277310925
7,0.13586309523809526
8,0.21471861471861473
9,0.18395390070921988
0,0.008116883116883107
1,2.2204460492503132e-17
2,0.1420918367346939
3,0.2875
4,0.3120370370370371
5,0.21305361305361303
6,0.275
7,0.12012235449735452
8,-0.09999999999999999
9,-0.2
0,0.21428571428571427
1,0.175
2,0.4
3,0.425
4,0.04269726485635577
5,0.07499999999999998
6,0.7777777777777778
7,0.13333333333333333
8,0.5
9,0.19211205461205463
0,0.0
1,0.0
2,0.0
3,0.0
4,0.08661616161616163
5,0.16570247933884297
6,-0.1875
7,-0.75
8,0.00416666666666668
9,0.2375
0,0.4
1,0.20833333333333334
2,0.0
3,0.6875
4,0.0
5,0.0
6,0.19999999999999998
